		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
01/17/24	12:30 a	33.4	33.4	33.2	90	30.8	0.0	W	0.00	3.0	W	33.4	33.2	33.2	29.682	0.00	0.00	0.658	0.000	40.0	30	11.0	38.4	6.45	 .0786	654	3	100.0	30
01/17/24	1:00 a	33.7	33.7	33.4	90	31.1	1.0	NE	0.50	3.0	NE	33.7	33.5	33.5	29.673	0.00	0.00	0.652	0.000	40.0	30	11.0	38.4	6.45	 .0786	655	3	100.0	30
01/17/24	1:30 a	33.8	33.8	33.6	91	31.5	1.0	NE	0.50	3.0	NE	33.8	33.6	33.6	29.655	0.03	0.09	0.650	0.000	40.0	31	11.8	38.4	6.55	 .0785	659	3	100.0	30
01/17/24	2:00 a	34.0	34.0	33.8	91	31.6	1.0	NE	0.50	3.0	NE	34.0	33.8	33.8	29.645	0.02	0.07	0.646	0.000	40.0	32	12.5	38.4	6.75	 .0785	659	3	100.0	30
01/17/24	2:30 a	34.6	34.6	33.9	92	32.5	1.0	ENE	0.50	4.0	SSE	34.6	34.5	34.5	29.635	0.02	0.06	0.633	0.000	39.9	33	13.1	38.4	6.85	 .0785	654	3	100.0	30
01/17/24	3:00 a	34.9	34.9	34.6	92	32.8	2.0	ENE	1.00	7.0	E	34.2	34.8	34.1	29.623	0.00	0.00	0.627	0.000	39.5	33	12.7	38.0	6.85	 .0785	661	3	100.0	30
01/17/24	3:30 a	35.1	35.2	34.9	92	33.0	1.0	E	0.50	5.0	ENE	35.1	35.0	35.0	29.615	0.01	0.00	0.623	0.000	39.3	34	13.2	37.8	7.04	 .0785	652	3	100.0	30
01/17/24	4:00 a	34.7	35.2	34.7	92	32.6	1.0	NNE	0.50	4.0	N	34.7	34.6	34.6	29.598	0.00	0.00	0.631	0.000	39.6	35	14.2	38.1	7.15	 .0784	654	3	100.0	30
01/17/24	4:30 a	34.9	34.9	34.6	92	32.8	1.0	ENE	0.50	4.0	N	34.9	34.8	34.8	29.585	0.00	0.00	0.627	0.000	39.9	36	15.1	38.4	7.35	 .0783	653	3	100.0	30
01/17/24	5:00 a	34.8	35.0	34.7	93	33.0	1.0	ENE	0.50	4.0	ENE	34.8	34.7	34.7	29.566	0.01	0.00	0.629	0.000	40.1	37	15.9	38.7	7.45	 .0782	652	3	100.0	30
01/17/24	5:30 a	35.2	35.2	34.7	93	33.4	1.0	ENE	0.50	4.0	N	35.2	35.2	35.2	29.551	0.01	0.00	0.621	0.000	40.3	38	16.7	38.9	7.65	 .0781	659	3	100.0	30
01/17/24	6:00 a	35.9	35.9	35.2	93	34.1	1.0	ENE	0.50	3.0	NE	35.9	35.9	35.9	29.539	0.00	0.00	0.606	0.000	40.4	38	16.8	39.0	7.65	 .0781	654	3	100.0	30
01/17/24	6:30 a	35.9	36.0	35.8	93	34.1	2.0	ENE	1.00	5.0	NE	35.3	35.9	35.3	29.523	0.01	0.00	0.606	0.000	40.4	39	17.4	39.0	7.76	 .0780	657	3	100.0	30
01/17/24	7:00 a	35.9	36.0	35.8	93	34.1	2.0	ENE	1.00	6.0	E	35.3	35.9	35.3	29.506	0.02	0.00	0.606	0.000	40.2	40	17.8	38.9	7.95	 .0780	654	3	100.0	30
01/17/24	7:30 a	36.0	36.1	35.9	93	34.2	2.0	ENE	1.00	5.0	NNE	35.4	36.0	35.4	29.482	0.01	0.00	0.604	0.000	40.1	40	17.7	38.8	7.95	 .0780	650	3	99.8	30
01/17/24	8:00 a	35.8	36.1	35.7	92	33.7	2.0	ENE	1.00	7.0	ESE	35.1	35.7	35.0	29.477	0.00	0.00	0.608	0.000	40.0	41	18.2	38.7	8.05	 .0780	650	3	99.8	30
01/17/24	8:30 a	36.0	36.0	35.7	93	34.2	3.0	ENE	1.50	9.0	ESE	33.8	36.0	33.8	29.458	0.01	0.00	0.604	0.000	39.6	41	17.8	38.3	8.06	 .0780	654	3	100.0	30
01/17/24	9:00 a	36.0	36.0	35.8	92	33.9	3.0	ENE	1.50	9.0	SE	33.8	35.9	33.7	29.465	0.01	0.00	0.604	0.000	39.0	42	17.8	37.7	8.27	 .0781	650	3	99.8	30
01/17/24	9:30 a	37.0	37.0	36.0	93	35.2	2.0	SE	1.00	7.0	S	36.5	37.0	36.5	29.469	0.02	0.05	0.583	0.000	38.9	42	17.7	37.7	8.27	 .0781	650	3	99.8	30
01/17/24	10:00 a	37.0	37.2	37.0	93	35.2	1.0	SE	0.50	5.0	ENE	37.0	37.0	37.0	29.479	0.03	0.11	0.583	0.000	39.0	43	18.4	37.8	8.39	 .0781	646	3	99.2	30
01/17/24	10:30 a	37.2	37.2	37.0	93	35.4	1.0	NW	0.50	3.0	ENE	37.2	37.2	37.2	29.495	0.07	0.26	0.579	0.000	39.4	44	19.3	38.2	8.56	 .0781	656	3	100.0	30
01/17/24	11:00 a	37.2	37.4	37.1	92	35.1	4.0	NW	2.00	16.0	NNW	34.1	37.1	34.0	29.518	0.07	0.29	0.579	0.000	39.7	44	19.5	38.5	8.56	 .0781	656	3	100.0	30
01/17/24	11:30 a	37.2	37.3	37.0	92	35.1	3.0	N	1.50	10.0	NNW	35.2	37.1	35.1	29.525	0.01	0.09	0.579	0.000	40.0	45	20.3	38.8	8.65	 .0781	659	3	100.0	30
01/17/24	12:00 p	37.8	37.8	37.2	92	35.7	4.0	N	2.00	12.0	NW	34.8	37.7	34.7	29.563	0.01	0.00	0.567	0.000	40.6	45	20.9	39.4	8.65	 .0781	661	3	100.0	30
01/17/24	12:30 p	37.2	37.8	37.2	91	34.8	5.0	NNW	2.50	15.0	WNW	33.2	37.1	33.1	29.595	0.01	0.00	0.579	0.000	41.2	46	22.0	40.0	8.85	 .0781	663	3	100.0	30
01/17/24	1:00 p	37.6	37.6	37.2	91	35.2	3.0	NNW	1.50	10.0	N	35.7	37.5	35.6	29.629	0.00	0.00	0.571	0.000	41.7	47	22.9	40.5	9.02	 .0781	660	3	100.0	30
01/17/24	1:30 p	37.5	37.7	37.5	90	34.8	3.0	NNE	1.50	10.0	NNE	35.5	37.4	35.4	29.656	0.00	0.00	0.573	0.000	42.3	48	24.0	41.1	9.20	 .0780	658	3	100.0	30
01/17/24	2:00 p	37.5	37.6	37.5	91	35.1	2.0	ENE	1.00	7.0	ENE	37.0	37.4	36.9	29.683	0.00	0.00	0.573	0.000	42.5	48	24.2	41.3	9.20	 .0781	664	3	100.0	30
01/17/24	2:30 p	37.6	37.6	37.4	91	35.2	2.0	NE	1.00	5.0	NE	37.1	37.5	37.0	29.704	0.01	0.00	0.571	0.000	42.6	49	24.8	41.5	9.30	 .0781	660	3	100.0	30
01/17/24	3:00 p	37.8	37.8	37.5	90	35.1	2.0	ENE	1.00	5.0	ENE	37.3	37.7	37.2	29.745	0.01	0.00	0.567	0.000	42.7	49	24.8	41.6	9.30	 .0782	662	3	100.0	30
01/17/24	3:30 p	37.5	37.8	37.4	90	34.8	2.0	NE	1.00	7.0	ESE	37.0	37.4	36.9	29.772	0.02	0.00	0.573	0.000	42.3	49	24.5	41.2	9.30	 .0783	664	3	100.0	30
01/17/24	4:00 p	37.6	37.7	37.5	91	35.2	2.0	NE	1.00	5.0	NE	37.1	37.5	37.0	29.801	0.00	0.00	0.571	0.000	42.0	50	24.7	40.9	9.51	 .0784	662	3	100.0	30
01/17/24	4:30 p	37.6	37.7	37.6	91	35.2	2.0	NE	1.00	5.0	NE	37.1	37.5	37.0	29.809	0.00	0.00	0.571	0.000	41.8	50	24.5	40.7	9.51	 .0785	660	3	100.0	30
01/17/24	5:00 p	37.7	37.7	37.6	91	35.3	2.0	E	1.00	5.0	E	37.2	37.6	37.1	29.830	0.01	0.00	0.569	0.000	41.5	50	24.2	40.4	9.52	 .0786	660	3	100.0	30
01/17/24	5:30 p	37.7	37.8	37.7	91	35.3	2.0	E	1.00	6.0	E	37.2	37.6	37.1	29.840	0.01	0.00	0.569	0.000	41.3	51	24.5	40.2	9.70	 .0787	659	3	100.0	30
01/17/24	6:00 p	37.6	37.8	37.5	91	35.2	2.0	ENE	1.00	6.0	NE	37.1	37.5	37.0	29.863	0.00	0.00	0.571	0.000	41.3	51	24.5	40.2	9.70	 .0787	655	3	100.0	30
01/17/24	6:30 p	37.9	37.9	37.6	91	35.5	2.0	ENE	1.00	5.0	NE	37.5	37.8	37.4	29.874	0.00	0.00	0.565	0.000	41.4	51	24.6	40.3	9.69	 .0787	657	3	100.0	30
01/17/24	7:00 p	38.1	38.1	37.9	91	35.7	2.0	ENE	1.00	5.0	ENE	37.7	38.0	37.6	29.894	0.00	0.00	0.560	0.000	41.5	52	25.2	40.4	9.89	 .0788	646	3	99.2	30
01/17/24	7:30 p	38.4	38.5	38.1	90	35.7	2.0	NE	1.00	5.0	NE	38.0	38.3	37.9	29.919	0.00	0.00	0.554	0.000	41.6	52	25.3	40.5	9.89	 .0788	633	3	97.2	30
01/17/24	8:00 p	38.8	38.9	38.5	89	35.8	2.0	ENE	1.00	5.0	ENE	38.4	38.7	38.3	29.940	0.00	0.00	0.546	0.000	41.8	52	25.4	40.7	9.88	 .0788	644	3	98.9	30
01/17/24	8:30 p	38.5	38.9	38.5	90	35.8	2.0	ENE	1.00	5.0	NE	38.1	38.4	38.0	29.968	0.00	0.00	0.552	0.000	42.0	52	25.6	40.9	9.87	 .0789	647	3	99.4	30
01/17/24	9:00 p	38.2	38.6	38.2	90	35.5	1.0	N	0.50	3.0	N	38.2	38.1	38.1	29.990	0.00	0.00	0.558	0.000	42.0	53	26.1	41.0	10.03	 .0789	629	3	96.6	30
