		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/14/24	12:00 a	-7.2	-7.1	-7.2	46	-16.8	0.4	NNE	0.27	2.2	NNE	-7.2	-7.5	-7.5	---	1014.3	0.00	0.0	---	---	---	0.177	0.000	20.0	36	4.5	18.5	7.21	1.1960	0.00	205	6	100.0	10
01/14/24	12:10 a	-7.2	-7.1	-7.3	47	-16.6	1.3	N	0.80	2.7	N	-9.6	-7.5	-9.9	---	1014.6	0.00	0.0	---	---	---	0.177	0.000	20.1	36	4.5	18.6	7.21	1.1960	0.00	203	6	100.0	10
01/14/24	12:20 a	-7.1	-7.1	-7.2	44	-17.3	1.8	NNE	1.07	4.5	N	-10.4	-7.4	-10.7	---	1014.7	0.00	0.0	---	---	---	0.177	0.000	19.9	36	4.4	18.4	7.21	1.1970	0.00	205	6	100.0	10
01/14/24	12:30 a	-7.1	-6.9	-7.1	43	-17.5	1.8	NNE	1.07	4.5	N	-10.3	-7.4	-10.7	---	1014.7	0.00	0.0	---	---	---	0.176	0.000	19.7	36	4.2	18.1	7.20	1.1980	0.00	204	6	100.0	10
01/14/24	12:40 a	-6.8	-6.7	-6.9	42	-17.6	1.3	N	0.80	2.2	N	-9.2	-7.2	-9.6	---	1014.9	0.00	0.0	---	---	---	0.175	0.000	19.4	36	3.9	17.8	7.19	1.1995	0.00	205	6	100.0	10
01/14/24	12:50 a	-6.7	-6.7	-6.7	41	-17.8	0.9	N	0.54	1.8	NNW	-7.9	-7.1	-8.3	---	1015.2	0.00	0.0	---	---	---	0.174	0.000	19.1	36	3.7	17.5	7.18	1.2012	0.00	203	6	100.0	10
01/14/24	1:00 a	-6.7	-6.6	-6.7	42	-17.5	1.3	N	0.80	2.2	NNW	-9.1	-7.1	-9.4	---	1015.3	0.00	0.0	---	---	---	0.174	0.000	18.8	35	3.0	17.1	7.05	1.2032	0.00	205	6	100.0	10
01/14/24	1:10 a	-6.9	-6.7	-7.1	43	-17.4	0.9	N	0.54	2.2	NNE	-8.2	-7.2	-8.5	---	1015.5	0.00	0.0	---	---	---	0.175	0.000	18.5	35	2.7	16.8	7.05	1.2048	0.00	206	6	100.0	10
01/14/24	1:20 a	-7.2	-7.1	-7.3	44	-17.4	1.3	N	0.80	2.2	N	-9.6	-7.5	-9.9	---	1015.7	0.00	0.0	---	---	---	0.177	0.000	18.2	35	2.5	16.6	7.05	1.2063	0.00	206	6	100.0	10
01/14/24	1:30 a	-7.4	-7.3	-7.4	44	-17.6	0.9	NNE	0.54	1.8	N	-8.7	-7.7	-9.0	---	1015.6	0.00	0.0	---	---	---	0.179	0.000	17.9	35	2.2	16.2	7.05	1.2077	0.00	206	6	100.0	10
01/14/24	1:40 a	-7.3	-7.2	-7.4	44	-17.5	0.9	NNE	0.54	2.2	NNE	-8.6	-7.7	-8.9	---	1015.6	0.00	0.0	---	---	---	0.178	0.000	17.6	35	1.9	15.8	7.05	1.2093	0.00	205	6	100.0	10
01/14/24	1:50 a	-7.2	-7.1	-7.2	44	-17.4	0.9	NNE	0.54	2.2	N	-8.4	-7.5	-8.8	---	1015.7	0.00	0.0	---	---	---	0.177	0.000	17.2	35	1.6	15.5	7.05	1.2110	0.00	203	6	100.0	10
01/14/24	2:00 a	-7.2	-7.2	-7.2	44	-17.4	0.9	NNE	0.54	2.2	N	-8.4	-7.5	-8.8	---	1015.6	0.00	0.0	---	---	---	0.177	0.000	16.9	35	1.4	15.2	7.05	1.2122	0.00	205	6	100.0	10
01/14/24	2:10 a	-7.1	-7.1	-7.2	45	-17.1	1.3	NNE	0.80	1.8	NNE	-9.6	-7.4	-9.9	---	1016.1	0.00	0.0	---	---	---	0.177	0.000	16.7	35	1.1	14.9	7.05	1.2140	0.00	205	6	100.0	10
01/14/24	2:20 a	-7.1	-7.1	-7.2	45	-17.1	1.3	NNE	0.80	3.6	NE	-9.6	-7.4	-9.9	---	1016.2	0.00	0.0	---	---	---	0.177	0.000	16.4	35	0.9	14.7	7.05	1.2154	0.00	203	6	100.0	10
01/14/24	2:30 a	-7.2	-7.1	-7.2	46	-16.8	0.9	NNE	0.54	3.1	NNE	-8.4	-7.5	-8.8	---	1016.4	0.00	0.0	---	---	---	0.177	0.000	16.2	35	0.7	14.4	7.05	1.2167	0.00	204	6	100.0	10
01/14/24	2:40 a	-7.1	-7.1	-7.2	46	-16.8	0.9	NNE	0.54	2.2	N	-8.4	-7.4	-8.7	---	1016.5	0.00	0.0	---	---	---	0.177	0.000	15.9	36	0.9	14.3	7.24	1.2177	0.00	205	6	100.0	10
01/14/24	2:50 a	-7.1	-7.1	-7.2	47	-16.5	0.9	NNE	0.54	1.8	NE	-8.4	-7.4	-8.7	---	1016.6	0.00	0.0	---	---	---	0.177	0.000	16.1	36	1.0	14.4	7.23	1.2170	0.00	202	6	100.0	10
01/14/24	3:00 a	-7.3	-7.2	-7.3	48	-16.4	0.4	NNE	0.27	1.8	NNE	-7.3	-7.6	-7.6	---	1016.6	0.00	0.0	---	---	---	0.178	0.000	16.7	37	1.9	15.1	7.35	1.2142	0.00	204	6	100.0	10
01/14/24	3:10 a	-7.3	-7.3	-7.4	48	-16.5	0.4	ENE	0.27	2.2	ENE	-7.3	-7.6	-7.6	---	1016.8	0.00	0.0	---	---	---	0.178	0.000	17.3	37	2.5	15.7	7.35	1.2112	0.00	204	6	100.0	10
01/14/24	3:20 a	-7.3	-7.3	-7.4	47	-16.7	0.0	ENE	0.00	1.8	N	-7.3	-7.7	-7.7	---	1016.9	0.00	0.0	---	---	---	0.178	0.000	17.9	36	2.6	16.2	7.17	1.2090	0.00	206	6	100.0	10
01/14/24	3:30 a	-7.3	-7.3	-7.4	48	-16.5	0.4	ENE	0.27	1.3	ENE	-7.3	-7.6	-7.6	---	1017.0	0.00	0.0	---	---	---	0.178	0.000	18.3	36	2.9	16.7	7.15	1.2073	0.00	204	6	100.0	10
01/14/24	3:40 a	-7.3	-7.2	-7.3	48	-16.4	0.9	E	0.54	2.2	E	-8.6	-7.6	-8.8	---	1016.9	0.00	0.0	---	---	---	0.178	0.000	18.3	36	3.0	16.7	7.15	1.2069	0.00	204	6	100.0	10
01/14/24	3:50 a	-7.2	-7.2	-7.2	48	-16.4	0.9	E	0.54	2.7	ESE	-8.5	-7.5	-8.8	---	1016.9	0.00	0.0	---	---	---	0.177	0.000	18.3	36	3.0	16.7	7.15	1.2070	0.00	203	6	100.0	10
