		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
02/15/24	12:00 a	0.7	0.9	0.7	82	-2.1	0.9	ENE	0.54	2.7	NNE	0.2	0.5	0.0	1007.6	0.00	1.0	0.123	0.000	19.4	43	6.5	18.3	8.25	1.1887	214	5	100.0	10
02/15/24	12:10 a	0.4	0.7	0.4	82	-2.3	0.9	NE	0.54	2.2	E	-0.2	0.2	-0.3	1007.7	0.25	1.0	0.125	0.000	19.2	43	6.3	17.9	8.25	1.1901	212	5	100.0	10
02/15/24	12:20 a	0.3	0.4	0.3	84	-2.1	0.9	NNE	0.54	1.3	NE	-0.3	0.2	-0.4	1007.7	0.00	0.0	0.125	0.000	18.9	43	6.1	17.7	8.25	1.1913	212	5	100.0	10
02/15/24	12:30 a	0.2	0.3	0.2	85	-2.1	0.9	NNE	0.54	1.8	NNE	-0.4	0.1	-0.5	1007.7	0.00	0.0	0.126	0.000	18.7	43	5.9	17.5	8.25	1.1923	213	5	100.0	10
02/15/24	12:40 a	0.1	0.2	0.1	86	-2.0	1.3	NNE	0.80	2.2	N	-1.4	0.0	-1.5	1007.6	0.00	0.0	0.127	0.000	18.6	43	5.7	17.3	8.25	1.1930	212	5	100.0	10
02/15/24	12:50 a	0.1	0.2	0.1	86	-2.0	1.3	NNE	0.80	2.7	NNE	-1.4	0.0	-1.5	1007.5	0.00	0.0	0.127	0.000	18.3	43	5.5	17.1	8.25	1.1939	213	5	100.0	10
02/15/24	1:00 a	0.1	0.1	0.1	86	-2.0	0.9	NNE	0.54	2.2	NNE	-0.5	-0.1	-0.6	1007.5	0.00	0.0	0.127	0.000	18.1	43	5.3	16.8	8.26	1.1950	214	5	100.0	10
02/15/24	1:10 a	0.0	0.1	0.0	86	-2.1	1.3	NNE	0.80	2.7	NNE	-1.5	-0.1	-1.6	1007.5	0.00	0.0	0.127	0.000	17.9	44	5.5	16.7	8.38	1.1955	213	5	100.0	10
02/15/24	1:20 a	0.0	0.1	-0.1	86	-2.1	0.9	NE	0.54	2.2	NE	-0.6	-0.1	-0.7	1007.4	0.00	0.0	0.127	0.000	17.8	44	5.4	16.5	8.39	1.1962	213	5	100.0	10
02/15/24	1:30 a	0.0	0.0	-0.1	86	-2.1	1.3	NNE	0.80	2.7	NNE	-1.5	-0.1	-1.6	1007.4	0.00	0.0	0.127	0.000	17.6	44	5.2	16.3	8.40	1.1970	213	5	100.0	10
02/15/24	1:40 a	0.1	0.1	0.0	87	-1.9	1.3	NNE	0.80	3.1	NNE	-1.4	-0.1	-1.6	1007.4	0.00	0.0	0.127	0.000	17.4	44	5.1	16.2	8.41	1.1978	212	5	100.0	10
02/15/24	1:50 a	0.1	0.2	0.1	86	-2.0	1.3	NNE	0.80	3.6	NNE	-1.4	0.0	-1.5	1007.3	0.00	0.0	0.127	0.000	17.3	44	4.9	15.9	8.43	1.1985	212	5	100.0	10
02/15/24	2:00 a	0.2	0.3	0.1	86	-1.8	1.3	NNE	0.80	3.6	N	-1.2	0.1	-1.3	1007.5	0.00	0.0	0.126	0.000	17.4	45	5.3	16.1	8.58	1.1979	213	5	100.0	10
02/15/24	2:10 a	0.3	0.3	0.2	86	-1.8	1.3	NNE	0.80	3.1	NNE	-1.2	0.2	-1.3	1007.7	0.00	0.0	0.125	0.000	17.8	45	5.7	16.6	8.57	1.1961	213	5	100.0	10
02/15/24	2:20 a	0.3	0.3	0.3	86	-1.8	1.3	NNE	0.80	3.1	N	-1.2	0.2	-1.3	1007.7	0.00	0.0	0.125	0.000	18.2	45	6.1	17.1	8.55	1.1941	211	5	100.0	10
02/15/24	2:30 a	0.3	0.3	0.3	86	-1.8	1.3	NNE	0.80	3.6	N	-1.2	0.2	-1.3	1007.6	0.00	0.0	0.125	0.000	18.3	44	5.9	17.1	8.35	1.1938	212	5	100.0	10
